rule,activation_rate
HERB MARKER BASIL → HERB MARKER MINT,0.6906878
HERB MARKER MINT → HERB MARKER BASIL,0.6906878
HERB MARKER MINT → HERB MARKER THYME,0.68979573
"JAM MAKING SET PRINTED, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.50429666
"GREEN REGENCY TEACUP AND SAUCER, RED TOADSTOOL LED NIGHT LIGHT → DOTCOM POSTAGE",0.49674863
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER ROSEMARY",0.38035887
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER THYME",0.37436563
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",0.37369505
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER PARSLEY",0.3733834
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER PARSLEY",0.37313145
HERB MARKER THYME → HERB MARKER ROSEMARY,0.3722359
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER ROSEMARY",0.37035868
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER PARSLEY",0.36921206
HERB MARKER THYME → HERB MARKER PARSLEY,0.3647976
HERB MARKER THYME → HERB MARKER CHIVES ,0.36419857
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER BASIL",0.3633658
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER THYME",0.36202326
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER BASIL",0.35925254
"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER MINT",0.35560158
"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER MINT",0.35400382
HERB MARKER THYME → HERB MARKER BASIL,0.35158026
HERB MARKER THYME → HERB MARKER MINT,0.34489787
"GREEN REGENCY TEACUP AND SAUCER, SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.2521547
"DOTCOM POSTAGE, SUKI  SHOULDER BAG → SKULL SHOULDER BAG",0.13035668
"DOTCOM POSTAGE, JAM MAKING SET PRINTED → SUKI  SHOULDER BAG",0.12870365
BEADED CRYSTAL HEART PINK ON STICK → DOTCOM POSTAGE,0.1277228
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER ROSEMARY",0.0
HERB MARKER CHIVES  → HERB MARKER THYME,0.0
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER MINT",0.0
HERB MARKER CHIVES  → HERB MARKER PARSLEY,0.0
HERB MARKER PARSLEY → HERB MARKER CHIVES ,0.0
HERB MARKER CHIVES  → HERB MARKER ROSEMARY,0.0
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER ROSEMARY",0.0
HERB MARKER PARSLEY → HERB MARKER ROSEMARY,0.0
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER PARSLEY",0.0
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER THYME",0.0
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER BASIL",0.0
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",0.0
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",0.0
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER THYME",0.0
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER MINT",0.0
"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER BASIL",0.0
HERB MARKER PARSLEY → HERB MARKER THYME,0.0
"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER BASIL",0.0
"JUMBO BAG WOODLAND ANIMALS, RECYCLING BAG RETROSPOT  → DOTCOM POSTAGE",0.0
HERB MARKER CHIVES  → HERB MARKER MINT,0.0
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER MINT",0.0
"SET/20 RED RETROSPOT PAPER NAPKINS , SET/6 RED SPOTTY PAPER CUPS → SET/6 RED SPOTTY PAPER PLATES",0.0
"SET/20 RED RETROSPOT PAPER NAPKINS , SET/6 RED SPOTTY PAPER PLATES → SET/6 RED SPOTTY PAPER CUPS",0.0
REGENCY TEAPOT ROSES  → REGENCY MILK JUG PINK ,0.0
REGENCY MILK JUG PINK  → REGENCY TEAPOT ROSES ,0.0
POPPY'S PLAYHOUSE BEDROOM  → POPPY'S PLAYHOUSE KITCHEN,0.0
"KEY FOB , BACK DOOR  → KEY FOB , SHED",0.0
"KEY FOB , SHED → KEY FOB , BACK DOOR ",0.0
"DOTCOM POSTAGE, SKULL SHOULDER BAG → SUKI  SHOULDER BAG",0.0
"RECYCLING BAG RETROSPOT , SUKI  SHOULDER BAG → DOTCOM POSTAGE",0.0
CHRISTMAS CRAFT WHITE FAIRY  → CHRISTMAS CRAFT LITTLE FRIENDS,0.0
CHRISTMAS CRAFT WHITE FAIRY  → CHRISTMAS CRAFT TREE TOP ANGEL,0.0
SKULL LUNCH BOX WITH CUTLERY  → STRAWBERRY LUNCH BOX WITH CUTLERY,0.0
"JUMBO BAG RED RETROSPOT, ROSES REGENCY TEACUP AND SAUCER  → DOTCOM POSTAGE",0.0
SET OF 60 VINTAGE LEAF CAKE CASES  → SET OF 60 PANTRY DESIGN CAKE CASES ,0.0
SET OF 60 PANTRY DESIGN CAKE CASES  → SET OF 60 VINTAGE LEAF CAKE CASES ,0.0
REGENCY TEAPOT ROSES  → REGENCY SUGAR BOWL GREEN,0.0
POPPY'S PLAYHOUSE LIVINGROOM  → POPPY'S PLAYHOUSE KITCHEN,0.0
POPPY'S PLAYHOUSE LIVINGROOM  → POPPY'S PLAYHOUSE BEDROOM ,0.0
REGENCY TEA PLATE GREEN  → REGENCY TEA PLATE PINK,0.0
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER BASIL",0.0
HERB MARKER PARSLEY → HERB MARKER MINT,0.0
HERB MARKER PARSLEY → HERB MARKER BASIL,0.0
"REGENCY TEA PLATE GREEN , REGENCY TEA PLATE ROSES  → REGENCY TEA PLATE PINK",0.0
REGENCY MILK JUG PINK  → REGENCY SUGAR BOWL GREEN,0.0
"REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES  → REGENCY TEA PLATE GREEN ",0.0
"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE KITCHEN → POPPY'S PLAYHOUSE LIVINGROOM ",0.0
POPPY'S PLAYHOUSE BEDROOM  → POPPY'S PLAYHOUSE LIVINGROOM ,0.0
"REGENCY TEA PLATE GREEN , REGENCY TEA PLATE PINK → REGENCY TEA PLATE ROSES ",0.0
REGENCY TEA PLATE ROSES  → REGENCY TEA PLATE PINK,0.0
"POPPY'S PLAYHOUSE KITCHEN, POPPY'S PLAYHOUSE LIVINGROOM  → POPPY'S PLAYHOUSE BEDROOM ",0.0
"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE LIVINGROOM  → POPPY'S PLAYHOUSE KITCHEN",0.0
REGENCY TEA PLATE GREEN  → REGENCY TEA PLATE ROSES ,0.0
REGENCY TEA PLATE ROSES  → REGENCY TEA PLATE GREEN ,0.0
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER THYME",0.0
